state_fips,owner_purchase_originations,minority_originations,lowincome_originations,owner_loan_amount_median,income_median,minority_share,year
17,109230,27256,42710,235000.0,88000.0,0.24952851780646343,2023
18,90769,9442,36714,125000.0,55000.0,0.1040222983617755,2018
18,91602,9604,38531,135000.0,55500.0,0.10484487238269907,2019
18,100102,11303,44384,145000.0,56000.0,0.11291482687658588,2020
18,102337,13059,43773,165000.0,58000.0,0.12760780558351328,2021
18,89484,12211,37378,185000.0,67000.0,0.1364601493004336,2022
18,72474,10171,28408,190000.0,73500.0,0.14033998399426,2023
19,39381,2540,16788,125000.0,58000.0,0.06449810822477844,2018
19,39261,2560,17835,125000.0,60500.0,0.06520465601996893,2019
19,43306,3128,20244,135000.0,60500.0,0.07223017595714219,2020
19,45595,3838,21665,145000.0,60000.0,0.08417589647987718,2021
19,38040,3542,17550,165000.0,68000.0,0.09311251314405888,2022
19,30930,3061,13600,165000.0,75000.0,0.09896540575493049,2023
20,32575,3266,11479,125000.0,60000.0,0.1002609363008442,2018
20,33310,3353,11966,130000.0,62000.0,0.10066046232362653,2019
20,36792,3845,14070,135000.0,60000.0,0.10450641443792129,2020
20,38310,4531,14258,155000.0,64000.0,0.11827199164708953,2021
20,31691,3789,11775,175000.0,71000.0,0.11956075857498974,2022
20,26581,3359,9185,185000.0,79500.0,0.1263684586734886,2023
21,48362,3936,19261,125000.0,54500.0,0.08138621231545429,2018
21,50279,4250,19256,135000.0,57000.0,0.08452833190795361,2019
21,55848,4754,22628,145000.0,58000.0,0.08512390774960607,2020
21,59163,5817,22948,165000.0,59000.0,0.09832158612646417,2021
21,49700,4993,18036,180000.0,67500.0,0.10046277665995976,2022
21,39409,4154,12939,185000.0,75000.0,0.1054073942500444,2023
22,43039,8922,12493,155000.0,64000.0,0.20730035549153095,2018
22,46976,10321,13205,160000.0,64000.0,0.21970793596730245,2019
22,51911,12073,16141,175000.0,63000.0,0.23257113135944213,2020
22,58806,14611,18647,185000.0,64000.0,0.24846104139033431,2021
22,48514,12086,14150,195000.0,73500.0,0.2491239642165148,2022
22,34768,8523,8555,195000.0,81000.0,0.24513920846755638,2023
23,14673,325,5176,157500.0,63000.0,0.02214952634089825,2018
23,15557,361,5673,165000.0,67000.0,0.02320498810824709,2019
23,16974,470,6349,187500.0,68000.0,0.027689407328855897,2020
23,17812,589,6193,217500.0,71750.0,0.03306759487985628,2021
23,14858,607,4590,255000.0,84000.0,0.040853412303136355,2022
23,11670,556,3069,265000.0,94000.0,0.04764353041988004,2023
24,74300,23725,24928,270000.0,83000.0,0.3193135935397039,2018
24,77873,25185,26775,280000.0,84000.0,0.3234111951510793,2019
24,86398,27547,30807,305000.0,85000.0,0.3188383990370147,2020
24,96256,31968,33299,325000.0,90000.0,0.33211436170212766,2021
24,73912,25346,24888,345000.0,101500.0,0.3429213118302847,2022
24,55193,19489,17066,355000.0,113000.0,0.3531063721848785,2023
25,73664,11516,19644,335000.0,100000.0,0.15633145091225023,2018
25,74449,11590,22846,350000.0,103000.0,0.15567704065870597,2019
25,76392,11907,24844,385000.0,105500.0,0.15586710650329877,2020
25,81467,14632,25787,425000.0,108500.0,0.17960646642198683,2021
25,65530,11681,18841,455000.0,127000.0,0.17825423470166335,2022
25,48846,9044,12027,465000.0,141000.0,0.18515333906563486,2023
26,118441,11188,43139,140000.0,60000.0,0.09446053309242576,2018
26,119805,11155,47606,145000.0,61000.0,0.09310963649263386,2019
26,123778,12114,51870,160000.0,61000.0,0.09786876504710046,2020
26,133078,15414,54149,175000.0,63000.0,0.11582680833796721,2021
26,112948,12973,46072,195000.0,72000.0,0.11485816481920884,2022
26,90349,10688,35128,205000.0,78500.0,0.11829682674960432,2023
27,75845,6739,30698,200000.0,70500.0,0.08885226448678225,2018
27,78922,7234,33182,215000.0,72000.0,0.09166012011859812,2019
27,85864,8065,38253,225000.0,72750.0,0.09392760644740519,2020
27,88877,9494,38448,255000.0,75000.0,0.10682178741406663,2021
27,70145,7563,29534,270000.0,86000.0,0.10781951671537529,2022
27,55119,6484,22502,275000.0,93500.0,0.11763638672689998,2023
28,26035,5976,6923,115000.0,55000.0,0.2295371615133474,2018
28,27160,6420,7701,115000.0,56000.0,0.23637702503681884,2019
28,31121,7652,9700,125000.0,56000.0,0.24587898846438097,2020
28,33829,8573,10309,145000.0,58000.0,0.2534216205031186,2021
28,28392,7410,7646,165000.0,66500.0,0.260989010989011,2022
28,22826,5832,5578,165000.0,72000.0,0.25549811618329976,2023
29,74346,6056,28412,135000.0,59000.0,0.0814569714577785,2018
29,78714,6427,31493,142500.0,60000.0,0.08165002413801865,2019
29,86668,7323,35479,155000.0,61000.0,0.08449485392532423,2020
29,89705,8408,35939,175000.0,63000.0,0.0937294465191461,2021
29,74651,7147,28891,195000.0,71500.0,0.09573883805977147,2022
29,61919,6425,22780,205000.0,79500.0,0.10376459568145481,2023
30,12258,307,3903,205000.0,68000.0,0.02504486865720346,2018
30,13019,357,4155,215000.0,72000.0,0.02742146094170059,2019
30,15187,485,5067,235000.0,72000.0,0.031935207743464804,2020
30,14539,491,4179,275000.0,77500.0,0.033771235985968776,2021
30,10952,364,2600,325000.0,93000.0,0.03323593864134405,2022
30,8717,332,1887,325000.0,101000.0,0.03808649764827349,2023
31,22932,2260,8723,145000.0,63500.0,0.09855224140938426,2018
31,22969,2291,9011,150000.0,65000.0,0.09974313204754234,2019
31,25963,2696,10645,165000.0,64000.0,0.1038400801140084,2020
31,25876,3093,10239,180000.0,66500.0,0.11953161230483846,2021
31,21755,2623,7841,200000.0,76000.0,0.12056998391174442,2022
31,18009,2549,5870,215000.0,85000.0,0.1415403409406408,2023
32,45555,12564,13014,245000.0,69000.0,0.27579848534738227,2018
32,45645,11948,11786,265000.0,71000.0,0.2617592288311973,2019
32,48266,12468,14749,275000.0,71000.0,0.2583184850619484,2020
32,52857,13972,15544,315000.0,75000.0,0.26433584955635014,2021
32,38095,10005,7959,365000.0,91000.0,0.2626328914555716,2022
32,32635,9216,5929,355000.0,98500.0,0.28239620039834534,2023
33,17647,737,5547,225000.0,82000.0,0.04176347254490848,2018
33,18006,739,5955,245000.0,87000.0,0.041041874930578696,2019
33,18873,883,6173,275000.0,91000.0,0.04678641445451174,2020
