year,mortgage_rate,unemployment_rate
2019,3.935769230769231,3.6750000000000003
2020,3.111698113207547,8.1
2021,2.957692307692308,5.358333333333333
2022,5.344038461538461,3.641666666666667
2023,6.806730769230769,3.6333333333333333
