county_fips,owner_purchase_originations,minority_originations,lowincome_originations,owner_loan_amount_median,income_median,minority_share,year
04007,667,63,123,155000.0,61000.0,0.0944527736131934,2018
04009,369,79,89,160000.0,67250.0,0.2140921409214092,2018
04011,31,7,8,120000.0,72000.0,0.2258064516129032,2018
04012,68,10,8,160000.0,60000.0,0.1470588235294117,2018
04013,71324,15629,18530,235000.0,72000.0,0.2191268016375974,2018
04015,2949,255,726,160000.0,56500.0,0.08646998982706,2018
04017,901,78,162,162500.0,65250.0,0.0865704772475027,2018
04019,14409,3678,3702,175000.0,63000.0,0.2552571309598168,2018
04021,9056,2035,3485,182500.0,59500.0,0.2247128975265017,2018
04023,418,287,117,130000.0,47000.0,0.6866028708133971,2018
04025,3840,245,941,220000.0,68000.0,0.0638020833333333,2018
04027,2653,1482,643,140000.0,49000.0,0.558612891066717,2018
05001,90,20,32,90000.0,51000.0,0.2222222222222222,2018
05003,113,22,36,85000.0,59000.0,0.1946902654867256,2018
05005,507,2,157,115000.0,51000.0,0.0039447731755424,2018
05007,5464,814,1503,165000.0,69000.0,0.1489751098096632,2018
05009,404,1,115,115000.0,53500.0,0.0024752475247524,2018
05011,52,12,14,80000.0,47000.0,0.2307692307692307,2018
05013,38,3,8,85000.0,55500.0,0.0789473684210526,2018
05015,213,37,65,125000.0,59000.0,0.1737089201877934,2018
05017,42,21,12,80000.0,44000.0,0.5,2018
05019,115,21,34,115000.0,55000.0,0.1826086956521739,2018
05021,90,7,39,65000.0,42500.0,0.0777777777777777,2018
05023,249,2,82,125000.0,64500.0,0.0080321285140562,2018
05025,50,3,15,72500.0,52000.0,0.06,2018
05027,103,22,24,120000.0,63000.0,0.2135922330097087,2018
05029,151,15,51,105000.0,52000.0,0.0993377483443708,2018
05031,1352,145,376,130000.0,58000.0,0.1072485207100591,2018
05033,615,57,162,130000.0,57500.0,0.0926829268292682,2018
05035,396,133,185,130000.0,48000.0,0.3358585858585858,2018
05037,106,15,23,90000.0,55500.0,0.1415094339622641,2018
05039,32,7,10,80000.0,57000.0,0.21875,2018
05041,39,16,14,80000.0,50500.0,0.4102564102564102,2018
05043,87,21,18,115000.0,57000.0,0.2413793103448276,2018
05045,1590,128,540,145000.0,67000.0,0.080503144654088,2018
05047,121,2,30,110000.0,50000.0,0.0165289256198347,2018
05049,67,0,16,97500.0,55500.0,0.0,2018
05051,1131,63,328,115000.0,51500.0,0.0557029177718832,2018
05053,203,4,55,135000.0,67000.0,0.0197044334975369,2018
05055,512,14,168,115000.0,56000.0,0.02734375,2018
05057,116,35,31,95000.0,65500.0,0.3017241379310345,2018
05059,263,18,65,100000.0,57000.0,0.0684410646387832,2018
05061,89,22,22,85000.0,57500.0,0.247191011235955,2018
05063,326,18,86,105000.0,54000.0,0.0552147239263803,2018
